File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 339064 (23.08%), 0 (0.00%), 36381 (2.48%), 0 (0.00%), 0 (0.00%), 13766 (0.94%), 1093545 (74.44%), 375446 (25.56%), 1468991
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,0.001000,0.001000,0.001000,0.000000,339063.965000,0.000000,0.000000,-nan,0.000000,339063.966000,4.091644,4.027712,0.000000,-nan,0.000000,1468990.938000
grad_param_comm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,226014.190000,12.276478,12.084658,0.000000,-nan,0.000000,1468990.938000
grad_param_compute,test1,0.001000,0.001000,34021.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
layernorm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,8733.125000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,8733.125000,158.858261,278.001953,1468990.938000
embedding_grads,test1,0.001000,0.001000,0.001000,0.000000,0.000000,165.714000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,165.714000,117.861191,206.257080,1468990.938000
moe_grad_norm1,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,-nan,0.000000,-nan,0.000000,1468990.938000
moe_grad_norm2,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,-nan,0.000000,-nan,0.000000,1468990.938000
embedding_layer,test1,799.000000,17374.000000,0.001000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
embedding_layer,test1,799.000000,2478.000000,0.001000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
attention_layer,test1,1820.000000,1820.000000,1820.000000,165.714000,0.000000,0.000000,165.714000,117.861191,206.257080,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1468990.938000
